#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20260924    22:36:52       0     14     44      -      0      0      0      0      0      0   8001   1605      0      0      0   8163      -      0      0 
 20260924    22:36:53       0      1     42      -      0      0      0      0      0      0   8000   1605    100      0      0   8163      -     73      6 
 20260924    22:36:55       0    590     42      -      0      0      0      0      0      0   8000   1605    100      0      0   8163      -     78      6 
 20260924    22:36:56       0     12     44      -      0      0      0      0      0      0   8001   1605      0      0    113   8163      -      0      0 
 20260924    22:36:57       0     13     45      -     12      1      0      0      0      0   8001   1605      0      0   2489   8163      -   2651    277 
 20260924    22:36:58       0     13     45      -     11      1      0      0      0      0   8001   1605      0      0   2489   8163      -   1974    256 
 20260924    22:36:59       0     22     46      -     73     85      0      0      0      0   7001   1710      0      0   7227   8163      -      0      0 
 20260924    22:37:00       0     14     45      -      0      0      0      0      0      0   8001   1950      0      0   7227   8163      -      0      0 
 20260924    22:37:02       0     14     45      -      0      0      0      0      0      0   8001   1605      0      0   7227   8163      -      0      0 
 20260924    22:37:03       0     12     45      -      0      0      0      0      0      0   8001   1605      0      0   7227   8163      -      0      0 
 20260924    22:37:04       0     12     45      -      0      0      0      0      0      0   8001   1605      0      0   7227   8163      -      0      0 
 20260924    22:37:05       0     12     45      -      0      0      0      0      0      0   8001   1605      0      0   7227   8163      -      0      0 
 20260924    22:37:06       0     12     45      -      0      0      0      0      0      0   8001   1605      0      0   7227   8163      -      0      2 
 20260924    22:37:07       0     12     45      -      0      0      0      0      0      0   8001   1605      0      0   7227   8163      -      0      0 
 20260924    22:37:08       0      6     44      -      0      0      0      0      0      0    810    225      0      0   7227   8163      -      0      2 
 20260924    22:37:09       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:10       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:11       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:12       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:13       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:14       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:15       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:16       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:18       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:19       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      1 
 20260924    22:37:20       0      3     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:21       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:22       0      4     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -     16      0 
 20260924    22:37:23       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:24       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:25       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:26       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      3      0 
 20260924    22:37:27       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      1 
 20260924    22:37:28       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:29       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:30       0      2     44      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:31       0      2     43      -      0      0      0      0      0      0    405    210      0      0   7227   8163      -      0      0 
 20260924    22:37:32       0      2     43      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -    347      6 
 20260924    22:37:33       0     57     58      -    100     42      0      0      0      0   8001   2385      0      0   7233   8163      -     18      6 
 20260924    22:37:35       0    103     59      -    100     44      0      0      0      0   8001   2340      0      0   7233   8163      -     16     97 
 20260924    22:37:36       0    104     58      -    100     89      0      0      0      0   8001   2490      0      0   7233   8163      -     15      5 
 20260924    22:37:37       0    100     59      -    100     98      0      0      0      0   8001   2550      0      0   7233   8163      -     12      4 
 20260924    22:37:38       0    102     58      -     99    100      0      0      0      0   8001   2565      0      0   7233   8163      -     11      4 
 20260924    22:37:39       0     99     59      -     99    100      0      0      0      0   8001   2565      0      0   7233   8163      -     10      4 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20260924    22:37:40       0     97     59      -    100    100      0      0      0      0   8001   2565      0      0   7233   8163      -      9      4 
 20260924    22:37:41       0     96     60      -    100    100      0      0      0      0   8001   2565      0      0   7233   8163      -      9      4 
 20260924    22:37:42       0     94     59      -     99    100      0      0      0      0   8001   2565      0      0   7233   8163      -      9      3 
 20260924    22:37:43       0     93     60      -    100    100      0      0      0      0   8001   2565      0      0   7233   8163      -     13      4 
 20260924    22:37:44       0     93     60      -     99    100      0      0      0      0   8001   2565      0      0   7233   8163      -      9      4 
 20260924    22:37:45       0     93     60      -     99    100      0      0      0      0   8001   2565      0      0   7233   8163      -      9      3 
 20260924    22:37:46       0    109     61      -    100    100      0      0      0      0   8001   2565      0      0   7233   8163      -      8      3 
 20260924    22:37:47       0     94     61      -    100    100      0      0      0      0   8001   2565      0      0   7233   8163      -      8      4 
 20260924    22:37:48       0     93     61      -    100    100      0      0      0      0   8001   2565      0      0   7233   8163      -      8      3 
 20260924    22:37:50       0     94     62      -    100    100      0      0      0      0   8001   2565      0      0   7233   8163      -      9      3 
 20260924    22:37:51       0     92     62      -    100    100      0      0      0      0   8001   2565      0      0   7233   8163      -      9      4 
 20260924    22:37:52       0     91     61      -     98    100      0      0      0      0   8001   2565      0      0   7233   8163      -     11     36 
 20260924    22:37:53       0     95     62      -     97    100      0      0      0      0   8001   2565      0      0   7233   8163      -     11     36 
 20260924    22:37:54       0     95     62      -     96    100      0      0      0      0   8001   2565      0      0   7233   8163      -     11     36 
 20260924    22:37:55       0     95     63      -     97    100      0      0      0      0   8001   2565      0      0   7233   8163      -     11     36 
 20260924    22:37:56       0     96     63      -     96    100      0      0      0      0   8001   2565      0      0   7233   8163      -      3      0 
 20260924    22:37:57       0     23     56      -      0      0      0      0      0      0   8001   2565      0      0   7233   8163      -      0      0 
 20260924    22:37:58       0     23     55      -      0      0      0      0      0      0   8001   2565      0      0   7233   8163      -      0      0 
 20260924    22:37:59       0     19     54      -      0      0      0      0      0      0   8001    525      0      0   7233   8163      -      0      3 
 20260924    22:38:00       0      2     53      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:01       0      1     53      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:02       0      1     53      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:03       0      1     52      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:04       0      1     52      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:06       0      1     52      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:07       0      1     52      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      1 
 20260924    22:38:08       0      2     52      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:09       0      1     51      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:10       0      1     51      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:11       0      1     51      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:12       0      2     51      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:13       0      1     51      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:14       0      1     50      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      1 
 20260924    22:38:15       0      1     50      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:16       0      1     50      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:17       0      1     50      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:18       0      1     50      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:19       0      1     50      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:21       0      1     49      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:22       0      1     49      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      1 
 20260924    22:38:23       0      1     49      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
 20260924    22:38:24       0      1     49      -      0      0      0      0      0      0    405    210      0      0   7233   8163      -      0      0 
