timestamp, utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], clocks_event_reasons.active
2026/09/24 22:36:52.435, 0 %, 1605 MHz, 8001 MHz, 14.01 W, 44, 0 MiB, 0x0000000000000001
2026/09/24 22:36:53.446, [Unknown Error], 1605 MHz, 8000 MHz, 1.20 W, 42, 0 MiB, 0x0000000000000001
2026/09/24 22:36:54.994, [Unknown Error], 1605 MHz, 8000 MHz, 590.01 W, 42, 0 MiB, 0x0000000000000001
2026/09/24 22:36:56.599, 1 %, 1605 MHz, 8001 MHz, 12.72 W, 45, 113 MiB, 0x0000000000000001
2026/09/24 22:36:57.613, 0 %, 1605 MHz, 8001 MHz, 12.51 W, 45, 2489 MiB, 0x0000000000000001
2026/09/24 22:36:58.617, 11 %, 1605 MHz, 8001 MHz, 13.07 W, 45, 2489 MiB, 0x0000000000000001
2026/09/24 22:36:59.622, 73 %, 1710 MHz, 7001 MHz, 22.67 W, 46, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:00.628, 0 %, 1950 MHz, 8001 MHz, 14.93 W, 45, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:01.644, 0 %, 1605 MHz, 8001 MHz, 14.67 W, 45, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:02.645, 0 %, 1605 MHz, 8001 MHz, 12.73 W, 45, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:03.646, 0 %, 1605 MHz, 8001 MHz, 12.64 W, 45, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:04.649, 0 %, 1605 MHz, 8001 MHz, 12.67 W, 45, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:05.662, 0 %, 1605 MHz, 8001 MHz, 12.63 W, 45, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:06.665, 0 %, 1605 MHz, 8001 MHz, 12.62 W, 45, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:07.666, 0 %, 225 MHz, 810 MHz, 6.38 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:08.670, 0 %, 210 MHz, 405 MHz, 2.69 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:09.672, 0 %, 210 MHz, 405 MHz, 2.50 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:10.686, 0 %, 210 MHz, 405 MHz, 2.48 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:11.689, 0 %, 210 MHz, 405 MHz, 2.46 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:12.693, 0 %, 210 MHz, 405 MHz, 2.46 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:13.694, 0 %, 210 MHz, 405 MHz, 2.46 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:14.698, 0 %, 210 MHz, 405 MHz, 2.46 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:15.710, 0 %, 210 MHz, 405 MHz, 2.47 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:16.724, 0 %, 210 MHz, 405 MHz, 2.58 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:17.731, 0 %, 210 MHz, 405 MHz, 2.58 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:18.742, 0 %, 210 MHz, 405 MHz, 2.69 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:19.744, 0 %, 210 MHz, 405 MHz, 3.32 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:20.745, 0 %, 210 MHz, 405 MHz, 2.49 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:21.749, 0 %, 210 MHz, 405 MHz, 4.39 W, 44, 7227 MiB, 0x0000000000000001
2026/09/24 22:37:22.752, 0 %, 210 MHz, 405 MHz, 2.83 W, 44, 7227 MiB, 0x0000000000000001
