timestamp, utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], clocks_event_reasons.active
2026/09/25 04:07:40.344, 0 %, 1605 MHz, 8001 MHz, 14.76 W, 58, 0 MiB, 0x0000000000000001
2026/09/25 04:07:41.362, 0 %, 1605 MHz, 8000 MHz, 1.20 W, 57, 0 MiB, 0x0000000000000001
2026/09/25 04:07:42.592, 0 %, 1605 MHz, 8001 MHz, 13.60 W, 58, 113 MiB, 0x0000000000000001
2026/09/25 04:07:43.595, 0 %, 1605 MHz, 8001 MHz, 12.98 W, 58, 2417 MiB, 0x0000000000000001
2026/09/25 04:07:44.599, 14 %, 1605 MHz, 8001 MHz, 13.68 W, 58, 2489 MiB, 0x0000000000000001
2026/09/25 04:07:45.602, 12 %, 1605 MHz, 8001 MHz, 13.81 W, 58, 6649 MiB, 0x0000000000000001
2026/09/25 04:07:46.603, 0 %, 2565 MHz, 8001 MHz, 25.51 W, 59, 7807 MiB, 0x0000000000000000
2026/09/25 04:07:47.605, 0 %, 2565 MHz, 8001 MHz, 23.77 W, 59, 7807 MiB, 0x0000000000000000
2026/09/25 04:07:48.606, 0 %, 1605 MHz, 8001 MHz, 17.00 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:49.608, 0 %, 1605 MHz, 8001 MHz, 13.47 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:50.622, 0 %, 1605 MHz, 8001 MHz, 13.43 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:51.636, 0 %, 1605 MHz, 8001 MHz, 13.37 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:52.641, 0 %, 1605 MHz, 8001 MHz, 13.34 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:53.651, 0 %, 225 MHz, 810 MHz, 7.46 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:54.666, 0 %, 210 MHz, 405 MHz, 2.30 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:55.679, 0 %, 210 MHz, 405 MHz, 2.28 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:56.682, 0 %, 210 MHz, 405 MHz, 2.22 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:57.702, 0 %, 210 MHz, 405 MHz, 2.30 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:58.714, 0 %, 210 MHz, 405 MHz, 2.25 W, 58, 7807 MiB, 0x0000000000000001
2026/09/25 04:07:59.716, 0 %, 210 MHz, 405 MHz, 2.31 W, 57, 7807 MiB, 0x0000000000000001
2026/09/25 04:08:00.719, 0 %, 210 MHz, 405 MHz, 2.28 W, 57, 7807 MiB, 0x0000000000000001
2026/09/25 04:08:01.722, 0 %, 210 MHz, 405 MHz, 2.26 W, 57, 7807 MiB, 0x0000000000000001
2026/09/25 04:08:02.725, 0 %, 210 MHz, 405 MHz, 2.26 W, 57, 7807 MiB, 0x0000000000000001
2026/09/25 04:08:03.741, 0 %, 210 MHz, 405 MHz, 4.80 W, 57, 7807 MiB, 0x0000000000000001
2026/09/25 04:08:04.743, 0 %, 210 MHz, 405 MHz, 2.23 W, 57, 7807 MiB, 0x0000000000000001
2026/09/25 04:08:05.743, 0 %, 210 MHz, 405 MHz, 2.29 W, 57, 7807 MiB, 0x0000000000000001
