# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     12     49      -      0      0      0      0      0      0   8001   1605      0      0   3747   8163      -    340      8 
    0     66     63      -     99     42      0      0      0      0   8001   2400      0      0   3753   8163      -     20      6 
    0    104     61      -     99     44      0      0      0      0   8001   2550      0      0   3753   8163      -     11     37 
    0     93     60      -     93    100      0      0      0      0   8001   2565      0      0   3753   8163      -     12     69 
    0     98     60      -     95    100      0      0      0      0   8001   2565      0      0   3753   8163      -     24     52 
    0    104     65      -    100     40      0      0      0      0   8001   2310      0      0   3753   8163      -     17     78 
    0     98     62      -     93    100      0      0      0      0   8001   2565      0      0   3753   8163      -     12     36 
    0     93     62      -     92    100      0      0      0      0   8001   2565      0      0   3753   8163      -     12     69 
    0     93     67      -     99     44      0      0      0      0   8001   2385      0      0   3753   8163      -     22     61 
    0    105     67      -     99     39      0      0      0      0   8001   2325      0      0   3753   8163      -    302     11 
    0     99     64      -     92    100      0      0      0      0   8001   2565      0      0   3753   8163      -     12     69 
    0     93     64      -     93    100      0      0      0      0   8001   2565      0      0   3753   8163      -     12     69 
