# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0      4     55      -    100     65      0      0      0      0    405    225      0      0   3753   8163      -    342      8 
    0     70     69      -     96     42      0      0      0      0   8001   2265      0      0   3753   8163      -     20     73 
    0     98     68      -     99     42      0      0      0      0   8001   2340      0      0   3753   8163      -      3     69 
    0     58     63      -     55     62      0      0      0      0   8001   2565      0      0   3753   8163      -      8     68 
    0     61     61      -     60     68      0      0      0      0   8001   2565      0      0   3753   8163      -      1     37 
    0     62     64      -     27     31      0      0      0      0   8001   2565      0      0   3753   8163      -      6     36 
    0     69     70      -     83     37      0      0      0      0   8001   2265      0      0   3753   8163      -     22      7 
    0     97     71      -     99     38      0      0      0      0   8001   2250      0      0   3753   8163      -     13      7 
    0     83     66      -     51     57      0      0      0      0   8001   2550      0      0   3753   8163      -      7     36 
    0     63     65      -     40     44      0      0      0      0   8001   2565      0      0   3753   8163      -      1     36 
    0     60     66      -     45     50      0      0      0      0   8001   2565      0      0   3753   8163      -      7     38 
    0     65     63      -     48     54      0      0      0      0   8001   2565      0      0   3753   8163      -    321     39 
    0    100     72      -     99     40      0      0      0      0   8001   2280      0      0   3753   8163      -     16      6 
    0     75     67      -     54     44      0      0      0      0   8001   2550      0      0   3753   8163      -     13     69 
    0     70     67      -     76     84      0      0      0      0   8001   2550      0      0   3753   8163      -     13     68 
    0     69     66      -     57     63      0      0      0      0   8001   2565      0      0   3753   8163      -      4     69 
