# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0      4     59      -      0      0      0      0      0      0    405    225      0      0   3747   8163      -     16      0 
    0      6     64      -     47     16      0      0      0      0   8001   2340      0      0   3753   8163      -     11      4 
    0     38     67      -     28     12      0      0      0      0   8001   2340      0      0   3753   8163      -      8      0 
    0     32     63      -     29     10      0      0      0      0   8001   2025      0      0   3753   8163      -     13      3 
    0     40     64      -     59     22      0      0      0      0   8001   2115      0      0   3753   8163      -     15     70 
    0     24     66      -     41     18      0      0      0      0   8001   2565      0      0   3753   8163      -     12      3 
    0     45     64      -      0      0      0      0      0      0   8001   2565      0      0   3753   8163      -     13      0 
    0     52     64      -     42     47      0      0      0      0   8001   2565      0      0   3753   8163      -      5     69 
    0     50     66      -     42     47      0      0      0      0   8001   2565      0      0   3753   8163      -      2     37 
    0     51     67      -     34     38      0      0      0      0   8001   2565      0      0   3753   8163      -      9     36 
    0     52     64      -     38     43      0      0      0      0   8001   2565      0      0   3753   8163      -     13     36 
    0     35     62      -      6      3      0      0      0      0   8001   2565      0      0   3753   8163      -      7      4 
    0     44     63      -     37     17      0      0      0      0   8001   2490      0      0   3753   8163      -      7      1 
    0     39     63      -     28     11      0      0      0      0   8001   2085      0      0   3753   8163      -      7      3 
    0     35     66      -     30     11      0      0      0      0   8001   1950      0      0   3753   8163      -     10      9 
    0     46     68      -     49     20      0      0      0      0   8001   2445      0      0   3753   8163      -      5      8 
    0     54     65      -     16      9      0      0      0      0   8001   2550      0      0   3753   8163      -      4     35 
    0     50     68      -     39     43      0      0      0      0   8001   2565      0      0   3753   8163      -     11      0 
    0     52     66      -     35     39      0      0      0      0   8001   2565      0      0   3753   8163      -     13      2 
    0     46     66      -     48     54      0      0      0      0   8001   2565      0      0   3753   8163      -     10     34 
    0     49     66      -     16     18      0      0      0      0   8001   2565      0      0   3753   8163      -     16     36 
    0     53     66      -     37     42      0      0      0      0   8001   2565      0      0   3753   8163      -      0      1 
    0     39     69      -     27     13      0      0      0      0   8001   2565      0      0   3753   8163      -     22      3 
    0     51     72      -     46     21      0      0      0      0   8001   2445      0      0   3753   8163      -      0      2 
    0     54     74      -     39     17      0      0      0      0   8001   2550      0      0   3753   8163      -      7      5 
    0     58     67      -     30     13      0      0      0      0   8001   2565      0      0   3753   8163      -      0     74 
    0     56     67      -     52     21      0      0      0      0   8001   2190      0      0   3753   8163      -      0     35 
    0     33     65      -     45     48      0      0      0      0   8001   2010      0      0   3753   8163      -     11     69 
    0     54     68      -     47     53      0      0      0      0   8001   2565      0      0   3753   8163      -     13      7 
    0     56     66      -     32     36      0      0      0      0   8001   2565      0      0   3753   8163      -     16     35 
    0     54     67      -     32     36      0      0      0      0   8001   2565      0      0   3753   8163      -      7     71 
    0     50     69      -     32     36      0      0      0      0   8001   2565      0      0   3753   8163      -      5     68 
