# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     13     58      -     30     10      0      0      0      0   8001   1830      0      0   3753   8163      -      0      7 
    0     39     59      -     32     13      0      0      0      0   8001   2205      0      0   3753   8163      -     12      3 
    0     32     59      -      5      2      0      0      0      0   8001   2205      0      0   3753   8163      -      1      0 
    0     35     59      -     40     14      0      0      0      0   8001   2010      0      0   3753   8163      -      0      0 
    0     36     65      -     18      7      0      0      0      0   8001   2190      0      0   3753   8163      -      0      1 
    0     33     59      -     50     15      0      0      0      0   8001   1755      0      0   3753   8163      -    668      2 
    0     29     60      -      4      1      0      0      0      0   8001   1770      0      0   3753   8163      -     13      1 
    0     22     59      -     33     35      0      0      0      0   8001   1770      0      0   3753   8163      -     11      1 
    0     23     60      -     32     32      0      0      0      0   8001   1350      0      0   3753   8163      -      0     70 
    0     24     59      -     18     18      0      0      0      0   8001   1260      0      0   3753   8163      -      0     36 
    0     15     60      -     26     26      0      0      0      0   6001   1005      0      0   3753   8163      -     14     69 
    0     19     59      -     39     36      0      0      0      0   8001   1125      0      0   3753   8163      -     14     72 
    0     23     60      -     39     38      0      0      0      0   8001   1230      0      0   3753   8163      -     13      0 
    0     22     60      -     34     33      0      0      0      0   8001   1230      0      0   3753   8163      -      0      5 
    0     15     60      -     50     21      0      0      0      0   8001   1935      0      0   3753   8163      -      4      0 
    0     28     62      -     37     13      0      0      0      0   8001   1935      0      0   3753   8163      -    476     62 
    0     51     62      -     29     12      0      0      0      0   8001   2460      0      0   3753   8163      -    611     20 
    0     47     68      -     29     12      0      0      0      0   8001   2550      0      0   3753   8163      -    672      0 
    0     41     61      -      0      0      0      0      0      0   8001   2100      0      0   3753   8163      -      0      0 
    0     17     60      -     39     40      0      0      0      0   7001   1410      0      0   3753   8163      -      6     68 
    0     22     60      -     37     35      0      0      0      0   8001   1185      0      0   3753   8163      -      6     68 
    0     16     60      -     23     23      0      0      0      0   6001   1005      0      0   3753   8163      -     11     39 
    0     13     60      -     28     25      0      0      0      0   6001    810      0      0   3753   8163      -     10     72 
    0     27     60      -     33     32      0      0      0      0   7001   1155      0      0   3753   8163      -      2      1 
    0     20     61      -     20     19      0      0      0      0   8001   1155      0      0   3753   8163      -      4     34 
    0     14     61      -     17     16      0      0      0      0   6001    870      0      0   3753   8163      -      0     36 
    0     13     60      -     28     24      0      0      0      0   6001    720      0      0   3753   8163      -      8     43 
    0     14     60      -      0      0      0      0      0      0   6001    765      0      0   3753   8163      -      0      1 
    0     10     60      -     61     14      0      0      0      0   6001    795      0      0   3753   8163      -     20      4 
    0     20     62      -     61     17      0      0      0      0   8001   1350      0      0   3753   8163      -     11      1 
    0     30     61      -     48     13      0      0      0      0   8001   1965      0      0   3753   8163      -     14      2 
    0     29     62      -     47     17      0      0      0      0   8001   1965      0      0   3753   8163      -     16     67 
    0     41     63      -     19      7      0      0      0      0   8001   2220      0      0   3753   8163      -      0      0 
    0     39     63      -     21      9      0      0      0      0   8001   2565      0      0   3753   8163      -      0      3 
    0     40     63      -     20     10      0      0      0      0   7001   2565      0      0   3753   8163      -      0     10 
    0     30     63      -     41     47      0      0      0      0   6001   2565      0      0   3753   8163      -     21     37 
    0     40     63      -     26     29      0      0      0      0   8001   2565      0      0   3753   8163      -      6     68 
    0     41     63      -     27     30      0      0      0      0   8001   2100      0      0   3753   8163      -      3      0 
    0     16     62      -     18     18      0      0      0      0   8001   1380      0      0   3753   8163      -      0      2 
    0     21     62      -     30     28      0      0      0      0   8001   1170      0      0   3753   8163      -      0     71 
    0     19     62      -     33     31      0      0      0      0   8001   1155      0      0   3753   8163      -     14      1 
    0     20     61      -      0      0      0      0      0      0   8001   1155      0      0   3753   8163      -     10      0 
    0     16     61      -     34     32      0      0      0      0   6001    825      0      0   3753   8163      -     14      7 
    0     11     61      -     10      9      0      0      0      0   6001    975      0      0   3753   8163      -      7 
