Stage 1.4 — Span ablation
Model : qwen3:4b-instruct
Probes: ['art_01', 'art_02', 'art_03', 'art_04', 'art_05', 'art_06', 'art_07', 'art_08', 'art_09', 'art_10']
Conditions: ['baseline', 'no_answer', 'answer_plus_header', 'answer_no_header', 'answer_plus_adjacent']
N_reps: 5

Measuring span token counts...
  art_01: baseline=134 | no_answer=122 | answer_plus_header=72 | answer_no_header=59 | answer_plus_adjacent=83 | answer_span=20
  art_02: baseline=143 | no_answer=130 | answer_plus_header=81 | answer_no_header=62 | answer_plus_adjacent=92 | answer_span=20
  art_03: baseline=199 | no_answer=181 | answer_plus_header=104 | answer_no_header=71 | answer_plus_adjacent=123 | answer_span=25
  art_04: baseline=171 | no_answer=159 | answer_plus_header=87 | answer_no_header=63 | answer_plus_adjacent=99 | answer_span=19
  art_05: baseline=202 | no_answer=173 | answer_plus_header=111 | answer_no_header=69 | answer_plus_adjacent=134 | answer_span=37
  art_06: baseline=283 | no_answer=277 | answer_plus_header=141 | answer_no_header=64 | answer_plus_adjacent=147 | answer_span=15
  art_07: baseline=256 | no_answer=196 | answer_plus_header=135 | answer_no_header=127 | answer_plus_adjacent=206 | answer_span=67
  art_08: baseline=249 | no_answer=223 | answer_plus_header=102 | answer_no_header=77 | answer_plus_adjacent=130 | answer_span=34
  art_09: baseline=175 | no_answer=165 | answer_plus_header=85 | answer_no_header=48 | answer_plus_adjacent=126 | answer_span=17
  art_10: baseline=195 | no_answer=172 | answer_plus_header=154 | answer_no_header=68 | answer_plus_adjacent=164 | answer_span=31

Total calls: 250  (completed: 0)

[  1/250] art_01 baseline               rep=0 ✓ 516ms  '51847'
[  2/250] art_01 baseline               rep=1 ✓ 453ms  '51847'
[  3/250] art_01 baseline               rep=2 ✓ 515ms  '51847'
[  4/250] art_01 baseline               rep=3 ✓ 453ms  '51847'
[  5/250] art_01 baseline               rep=4 ✓ 422ms  '51847'
[  6/250] art_01 no_answer              rep=0 ✗ 422ms  '8080'
[  7/250] art_01 no_answer              rep=1 ✗ 438ms  '8080'
[  8/250] art_01 no_answer              rep=2 ✗ 390ms  '8080'
[  9/250] art_01 no_answer              rep=3 ✗ 407ms  '8080'
[ 10/250] art_01 no_answer              rep=4 ✗ 421ms  '8080'
--- progress: 10/250 calls, 10 written ---
[ 11/250] art_01 answer_plus_header     rep=0 ✓ 516ms  '51847'
[ 12/250] art_01 answer_plus_header     rep=1 ✓ 484ms  '51847'
[ 13/250] art_01 answer_plus_header     rep=2 ✓ 422ms  '51847'
[ 14/250] art_01 answer_plus_header     rep=3 ✓ 407ms  '51847'
[ 15/250] art_01 answer_plus_header     rep=4 ✓ 437ms  '51847'
[ 16/250] art_01 answer_no_header       rep=0 ✓ 438ms  '51847'
[ 17/250] art_01 answer_no_header       rep=1 ✓ 406ms  '51847'
[ 18/250] art_01 answer_no_header       rep=2 ✓ 437ms  '51847'
[ 19/250] art_01 answer_no_header       rep=3 ✓ 422ms  '51847'
[ 20/250] art_01 answer_no_header       rep=4 ✓ 391ms  '51847'
--- progress: 20/250 calls, 20 written ---
[ 21/250] art_01 answer_plus_adjacent   rep=0 ✓ 453ms  '51847'
[ 22/250] art_01 answer_plus_adjacent   rep=1 ✓ 453ms  '51847'
[ 23/250] art_01 answer_plus_adjacent   rep=2 ✓ 422ms  '51847'
[ 24/250] art_01 answer_plus_adjacent   rep=3 ✓ 437ms  '51847'
[ 25/250] art_01 answer_plus_adjacent   rep=4 ✓ 407ms  '51847'
[ 26/250] art_02 baseline               rep=0 ✓ 500ms  '0.0073'
[ 27/250] art_02 baseline               rep=1 ✓ 422ms  '0.0073'
[ 28/250] art_02 baseline               rep=2 ✓ 453ms  '0.0073'
[ 29/250] art_02 baseline               rep=3 ✓ 438ms  '0.0073'
[ 30/250] art_02 baseline               rep=4 ✓ 437ms  '0.0073'
--- progress: 30/250 calls, 30 written ---
[ 31/250] art_02 no_answer              rep=0 ✗ 438ms  '12400'
[ 32/250] art_02 no_answer              rep=1 ✗ 422ms  '12400'
[ 33/250] art_02 no_answer              rep=2 ✗ 468ms  '12400'
[ 34/250] art_02 no_answer              rep=3 ✗ 391ms  '12400'
[ 35/250] art_02 no_answer              rep=4 ✗ 422ms  '12400'
[ 36/250] art_02 answer_plus_header     rep=0 ✓ 422ms  '0.0073'
[ 37/250] art_02 answer_plus_header     rep=1 ✓ 453ms  '0.0073'
[ 38/250] art_02 answer_plus_header     rep=2 ✓ 422ms  '0.0073'
[ 39/250] art_02 answer_plus_header     rep=3 ✓ 453ms  '0.0073'
[ 40/250] art_02 answer_plus_header     rep=4 ✓ 437ms  '0.0073'
--- progress: 40/250 calls, 40 written ---
[ 41/250] art_02 answer_no_header       rep=0 ✓ 454ms  '0.0073'
[ 42/250] art_02 answer_no_header       rep=1 ✓ 406ms  '0.0073'
[ 43/250] art_02 answer_no_header       rep=2 ✓ 422ms  '0.0073'
[ 44/250] art_02 answer_no_header       rep=3 ✓ 407ms  '0.0073'
[ 45/250] art_02 answer_no_header       rep=4 ✓ 453ms  '0.0073'
[ 46/250] art_02 answer_plus_adjacent   rep=0 ✓ 453ms  '0.0073'
[ 47/250] art_02 answer_plus_adjacent   rep=1 ✓ 422ms  '0.0073'
[ 48/250] art_02 answer_plus_adjacent   rep=2 ✓ 453ms  '0.0073'
[ 49/250] art_02 answer_plus_adjacent   rep=3 ✓ 437ms  '0.0073'
[ 50/250] art_02 answer_plus_adjacent   rep=4 ✓ 453ms  '0.0073'
--- progress: 50/250 calls, 50 written ---
[ 51/250] art_03 baseline               rep=0 ✓ 454ms  '8.9'
[ 52/250] art_03 baseline               rep=1 ✓ 375ms  '8.9'
[ 53/250] art_03 baseline               rep=2 ✓ 390ms  '8.9'
[ 54/250] art_03 baseline               rep=3 ✓ 375ms  '8.9'
[ 55/250] art_03 baseline               rep=4 ✓ 406ms  '8.9'
[ 56/250] art_03 no_answer              rep=0 ✗ 438ms  '45.6'
[ 57/250] art_03 no_answer              rep=1 ✗ 375ms  '45.6'
[ 58/250] art_03 no_answer              rep=2 ✗ 375ms  '45.6'
[ 59/250] art_03 no_answer              rep=3 ✗ 406ms  '45.6'
[ 60/250] art_03 no_answer              rep=4 ✗ 406ms  '45.6'
--- progress: 60/250 calls, 60 written ---
[ 61/250] art_03 answer_plus_header     rep=0 ✓ 438ms  '8.9'
[ 62/250] art_03 answer_plus_header     rep=1 ✓ 406ms  '8.9'
